,_ID, TimeSt,Country,Province,City,Latitude,Longitude,Closest Poi
5157,4831316,2017-06-21 00:21:29.590,CA,BC,Kamloops,50.6748,-120.329,POI1
5158,4831357,2017-06-21 03:21:31.247,CA,ON,Toronto,43.6735,-79.403,POI3
5159,4831363,2017-06-21 14:21:32.270,CA,AB,Calgary,50.9581,-114.002,POI1
5160,4831427,2017-06-21 02:21:30.010,CA,ON,North York,43.7534,-79.3272,POI3
5161,4831513,2017-06-21 22:21:31.887,CA,AB,Airdrie,51.3082,-114.0398,POI1
5162,4831560,2017-06-21 02:21:34.100,CA,ON,Ajax,43.8959,-79.0344,POI3
5163,4831593,2017-06-21 05:21:33.573,CA,AB,Edmonton,53.60754,-113.48721,POI1
5164,4831637,2017-06-21 06:21:34.090,CA,AB,Edmonton,53.5515,-113.492,POI1
5165,4831717,2017-06-21 02:21:34.127,CA,ON,Brampton,43.7476,-79.6912,POI3
5166,4831788,2017-06-21 04:21:36.240,CA,AB,Calgary,51.0494,-113.9564,POI1
5167,4831863,2017-06-21 13:21:35.457,CA,ON,Sudbury,46.4917,-80.9928,POI3
5168,4831933,2017-06-21 08:21:37.270,CA,AB,Calgary,50.9368,-114.01074,POI1
5169,4832008,2017-06-21 01:21:39.820,CA,SK,Saskatoon,52.13454,-106.57326,POI1
5170,4832053,2017-06-21 08:21:37.343,CA,AB,Calgary,50.9368,-114.01074,POI1
5171,4832144,2017-06-21 20:21:39.113,CA,AB,Edmonton,53.54807,-113.59434,POI1
5172,4832158,2017-06-21 19:21:38.737,CA,AB,Edmonton,53.54807,-113.59434,POI1
5173,4832245,2017-06-21 08:21:38.773,CA,AB,Edmonton,53.54807,-113.59434,POI1
5174,4832310,2017-06-21 22:21:39.917,CA,AB,Edmonton,53.5515,-113.492,POI1
5175,4832385,2017-06-21 10:21:40.260,CA,SK,Regina,50.4855,-104.6163,POI1
5176,4832458,2017-06-21 19:21:39.913,CA,ON,Gravenhurst,44.7724,-79.3325,POI3
5177,4832510,2017-06-21 15:21:40.630,CA,BC,Richmond,49.16527,-123.1267,POI1
5178,4832607,2017-06-21 15:21:43.440,CA,AB,Calgary,51.0378,-114.08,POI1
5179,4832610,2017-06-21 02:21:43.640,CA,AB,Calgary,51.0799,-114.081,POI1
5180,4832685,2017-06-21 21:21:43.680,CA,ON,York,43.703,-79.512,POI3
5181,4832692,2017-06-21 12:21:44.357,CA,ON,Thunder Bay,48.3738,-89.2779,POI3
5182,4832750,2017-06-21 15:21:40.163,CA,ON,Peterborough,44.3311,-78.3331,POI3
5183,4832827,2017-06-21 03:21:43.390,CA,AB,Calgary,51.1229,-114.189,POI1
5184,4832914,2017-06-21 13:21:43.550,CA,AB,Calgary,50.9714,-114.057,POI1
5185,4833036,2017-06-21 03:21:43.590,CA,AB,Calgary,51.1387,-114.2015,POI1
